sample,PC1,PC2,PC3,PC4,PC5
01B,-0.7854555691070892,13.702476602156795,-36.44267608124976,12.654220035480519,-4.960091991600232
02B,-31.553103682582677,11.959269377263889,25.278767312044817,-6.212366193511705,-15.173493467851785
03B,-8.225057745498686,-37.29395230264458,-6.69770260812045,-53.227076425067594,-6.138227959193281
06B,45.82108584954436,23.470917450947745,13.388626343812165,-5.386841237479409,32.82855544474688
08B,40.95966704784468,45.70518486075852,-21.015842363794142,21.01843485557508,-57.175870643669484
09B,-20.710761234035296,30.78945560866444,19.067442958286197,3.705314116570016,61.219751028202346
13B,-37.616490290680716,0.8970617796291761,-2.1617747983860127,-18.542636137547323,-20.999879436357066
17B,16.819323533955696,-37.69952651110495,-33.59944844583717,-10.070714988578258,17.61144047029168
21B,0.5356376736760431,21.75576750044419,-41.61295978082194,-6.190763402209694,12.650551651974604
22B,20.073697506461908,37.623597288997736,9.350284578271674,-51.04674635315497,24.09988690988311
23B,-51.712342423697,17.94095900216241,-5.615036694766906,-24.92624162560895,-28.73195439890915
24B,51.78466744689949,-10.559251291378091,2.9899177469122136,-6.144769423913652,9.23791312721427
31B,51.112529645962745,-17.91278746999342,-28.361269620668672,28.695150363444114,7.929606422267863
33B,25.444322547176473,-23.367030639184843,7.095953268382283,-15.073969816307391,-14.409365345125579
35B,-12.979477755813711,-31.403403416441172,-8.364860044297103,-19.58199576552426,-1.064120296547468
36B,47.09635679572009,-1.7842104217213184,-18.26646116880791,-15.503203716293275,-0.9068703867623963
44B,-39.81635796413988,36.918640243779166,16.459827613210773,7.330767880137206,13.137994132174779
45B,-9.816644785141184,38.18245719090818,4.887354211007928,18.529648685451956,-13.503499679504246
46B,16.951695289089574,-39.08638542210629,20.22752673271706,16.875413824271828,-4.854159897195079
49B,-15.280177811961662,9.840073790678643,33.42801649327739,-4.138810036811327,-2.1680529277056215
51B,12.388669201672583,18.913105497863825,30.711938191918478,13.412423272435152,-9.681260199958876
53B,-21.261943587524346,39.23084031556412,-29.775524302966147,26.422867959853473,11.424999914384967
55B,-24.56656498084989,-36.803329714571944,3.153482650951508,43.90950150989917,24.60576647043021
60B,-52.936746027424086,-51.430050159317396,-23.893109346219287,2.465001412913491,-0.08396069700084752
63B,-40.82907672101777,-7.899589072177303,-9.868504796998403,17.830471139106233,-5.112564123282428
64B,7.438433614795518,-52.780246297707,41.44756454439948,21.319097515718937,-6.549997091732515
66B,31.664114426674796,1.0899562085288446,38.18846740774205,1.877822551150767,-23.233097029174807
