sample,n_cpg,mean_depth,median_depth,mean_beta,median_beta
01B,11923543,16.665376977296095,15,0.7398239841236225,0.84615385
02B,11663271,16.462269375375055,15,0.7344354219075883,0.83870968
03B,11629508,16.336615100140094,15,0.741823026411702,0.84615385
06B,11123147,15.895755940292796,15,0.7525639628410009,0.8571428600000001
08B,11504122,16.228601626443112,15,0.7537934300060263,0.8571428600000001
09B,10985354,15.786927940601641,15,0.7406102791964709,0.84615385
13B,13688497,19.892435743675875,19,0.7410847214164212,0.84615385
17B,12329058,17.41804807796346,16,0.7493778482982785,0.8571428600000001
21B,12962858,18.152173463598846,17,0.7447934430777716,0.85
22B,11232012,15.827288557027895,15,0.7428960400385516,0.84615385
23B,12242703,17.215186711627325,16,0.7343450409650364,0.83333333
24B,13060027,19.55302289956981,18,0.7476511574644921,0.8571428600000001
31B,13408374,19.195962165136503,18,0.7479435257262755,0.8518518500000001
33B,12624387,18.295268594031537,17,0.7530380758541401,0.86363636
35B,12898969,19.723742882086157,18,0.7396045478854143,0.84615385
36B,13036279,20.205023994960523,18,0.751688833369948,0.8571428600000001
44B,11605090,16.60289398875838,15,0.733115181907203,0.83333333
45B,12925413,17.977031526961653,17,0.737580859900757,0.84375
46B,14666616,24.8485122266786,24,0.7430644619338845,0.84615385
49B,14723106,24.8412113585272,24,0.743016266353842,0.84615385
51B,13641857,19.979946205271027,19,0.7468057996048219,0.8518518500000001
53B,13111911,18.775944254045044,17,0.7376790776575072,0.84210526
55B,11115521,16.266873680504943,15,0.7363673020611542,0.83333333
60B,12353420,17.328631180677093,16,0.7353376737070481,0.84
63B,12501900,17.33558123165279,16,0.7341186366332134,0.83333333
64B,12828870,18.194564836965377,17,0.7516185094438593,0.8571428600000001
66B,12945354,18.078092032091206,17,0.7475170363161421,0.8571428600000001
